text,label_original,aspect,sarcasm
"This was the worst movie I've ever seen, yet it was also the best movie. Sci Fi original movie's are supposed to be bad, that's what makes them fun! The line, ""I like my dinosaur meat well done!"" is probably the best quote ever! Also, the plot sounds like something out of a pot induced dream. I can imagine it now, the writers waking up after a long night of getting high and playing dance dance revolution, then putting ideas together for this: Space marines got to alien planet, which is infested with dinosaurs and has medieval houses in it, to protect a science team studying the planet. Best idea ever! In fact, in fits the complete Sci Fi original movie checklist: guns dinosaurs medieval times space travel terrible acting<br /><br />So go watch this movie, but don't buy it.",1,Plot/Story,Yes
"It's hard to believe, after waiting 14 years, we wind up with this piece of cinematic garbage. The original was a high impact, dark thriller that achieved ""cult"" status demonstrating the fine art of cinema as directed by Paul Verhoeven. This film adds nothing, delivers nothing, and ultimately winds up in the big box of failed sequels.<br /><br />The opening sequence could have triggered an intriguing set of plot developments using a considerably talented and able cast. Unfortunately we are treated to a 90 minute dissertation in the self-indulgent life of Catherine Tramell... or is it Sharon Stone. Possibly a copulation of both.<br /><br />If the desire is too see a continuation of the sensually provocative stying of sex as in ""B.S.1"", forget it. You wind up with soft-porn boredom which ultimately upholds the old adage that a woman can be more alluring in clothes than out of them. It's interesting to note that the wonderful Charlotte Rampling was romping around in her skivvies, via the 1966 GEORGY GIRL, when Ms. Stone was only 8 years old. A very talented actress and quite adept at holding her own even here.<br /><br />If you're a true cinema fan then you must see this film and judge it using your own rating system. If not, you might as well wait for the DVD release in the ""rated"" version, ""unrated"" version, ""collectors"" edition, or ""ultimate"" version, and perhaps in another 14 years we will be saturated with news of ""Basic Instinct 3"" at which point Ms. Stone will be 62 years old and nobody will really care.",0,Plot/Story,Yes
"The producers made a big mistake casting Mark Lester, who couldn't act or sing, in the title role. Aside from his very bad ""acting"", all of Lester's singing had to be dubbed by a girl. I don't know why they cast him at all, since there would have been so many boys who could have played the part infinitely better and done their own singing as well. Shani Wallis was far too old to play Nancy, who was only supposed to be 16. The current West End version is so much better than the movie in every way. Ross McCormack is the best Artful Dodger of all time and he is certainly far better looking than Jack Wild ever was. It was clearly political to award this old-fashioned musical so many Oscars after the tumultuous events of 1968.",0,Plot/Story,Yes
"Dysfunctional family goes home for the holidays and murder and mayhem result. Violent sexy Milligan at his most home made. Little better than a home movie (as much of Milligans films are) this is a trip into depravity 1960's style. Notable for the copious nudity and sex this film is neither sexy nor gruesome, playing now more as quaint.(though decidedly r rated). The film suffers from its uneven cast and from the cheapness of the production.(No one was ever sure where the money went on his movies since he was always broke). Its a bad bad movie thats not worth seeing except as a Milligan completeist or because its got some good looking people fooling around.",0,Plot/Story,Yes
"""Anchors Aweigh"" is the product of the classic MGM musical production unit, and on the whole the film is every enjoyable  good music by Jule Styne and others, excellent dancing by Gene Kelly (and even a passable job by Frank Sinatra), and a funny well-paced script. The only major element I would criticize would be the casting of Kathryn Grayson, whose presence in a film always means the audience will be subjected to endless pseudo-operatic warbling from the petite Miss.<br /><br />Kelly plays a naval serviceman named Joseph Brady, a man with a mythic reputation around the ship as a lover but whose Valentino-charms are constantly being subdued by the presence of his less cocksure friend with the improbable middle-American name of Clarence (Sinatra). Upon receiving 3 days of shore leave for saving Clarence's life, Joe reluctantly agrees to help Clarence find a girl based on the dubious premise that he owes him something for saving his life. They are drafted by a policeman (Rags Ragland), who needs them to help coax a precocious young boy (Dean Stockwell) who wants to join the Navy into returning home to ""Aunt Susan"" (Grayson). At first it is Clarence who is interested in wooing ""Aunt Susan"" but eventually Kelly's character emerges as the more likely candidate.<br /><br />There are several standout musical scenes but nothing to come close to Kelly's more famous work in films like ""Singin' in the Rain"" and ""American in Paris"". The closest we get is a gimmicky sequence with Kelly's character in a fantasy sequence dancing with Jerry, the mouse from ""Tom and Jerry"" (although he seems to be closer in size to a dog or cat here than to a mouse). It's a startling sequence for its time but doesn't have enough complexity or emotion to really stand the test of time. I actually enjoyed the parts of the sequence that took place prior to the animation, where Kelly was using semi-balletic moves to emphasize the transition into the fantasy world and where we see him dance down a tunnel that looks like something right out of ""Alice in Wonderland"".<br /><br />Eventually the characters find their way to Susan's favorite bar, a somewhat sanitized Mexican restaurant/bar in Tijuana. There the patrons happily allow Ms. Grayson to chirp her arias with abandon, and the management becomes very excited at the opportunity that Clarence and Joe have extended for her to sing with their ""friend"" Jose Iturbi (playing himself with a light humorous touch). Of course they've never met their ""friend"" Iturbi and they spend much of the film's length trying to reach him (in an amusing scene Sinatra's character meets Iturbi but mistakes him for a piano tuner and urges him to abandon tuning pianos and try a professional career), sneaking into the studio and the Hollywood Bowl, where Iturbi is rehearsing a surreal symphony comprised of dozens of young piano players  you haven't seen anything like this outside of ""1000 Fingers of Dr. T"". Iturbi himself is a kind of a god-figure in the story  he represents the opportunity for salvation from the drudgery of unfulfilling work and the possibility for fame and artistic achievement for the heroine. Everyone is 100% sure that as soon as Mr. Iturbi so much as hears Ms. Grayson, her operatic career will be a reality. The 3 primary characters are desperate to reach him and they think of him as some kind of remote and distant mythological figure  a lot of the film's charm and humor comes from the contrast of this perception to the very down-to-earth ""real"" mannerisms of the maestro. And speaking of Iturbi's contributions to the film, he also provides a very stimulating musical moment with his orchestral interpretation of ""Donkey Serenade"".<br /><br />When all is said and done, this is a film that nobody who enjoys musicals will want to miss. The majority of the music was written for this film, a nice contrast to recycled soundtracks for other Kelly opuses like ""Rain"" and ""American"". Kelly is still at his early peak, adventurous and boisterous in both his dances and his interpretation of the character. Sinatra's voice was never in better form and he rarely had better songs to sing. Stockwell is a charming addition to the clan, and Grayson's character is endearing when she isn't posturing on stage. Iturbi adds that well-grounded but sophisticated tone that perfectly matches the atmosphere and style of the classic-era MGM musical. This is one of the better ones.",1,Plot/Story,No
"I remember going to see the movie in the summer of '78 with my parents, and being pretty into it at the time. Of course, I was seven at the time.<br /><br />Right before the Jackson movies came out, my wife and I rented this movie since she had never seen it and I was feeling nostalgic.<br /><br />Ralph Bakshi ran out of money about mid-way through the animation process for this movie, and was forced to drastically cut corners on this production. Since this movie was done primarily with rotoscoping, the animation technique for people on a budget, this is saying something. Much of this movie is animation only in the very loosest sense of the word. There are some scenes which are very obviously just people standing in front of a screen, with maybe some animation effects superimposed on top of them.<br /><br />Because of budget constraints, the movie -- already a compression of ""The Fellowship of the Rings"" and part of ""The Two Towers"" -- was pared down even more. What you get is sort of like a film-strip version of the Cliff Notes of the books.<br /><br />Its not all bad, though, the animation brings a warmth to it, that I found lacking in the Jackson movies. Its nice to imagine what it could have been like with decent funding.<br /><br />This movie is also noteworthy for having the sequel which never came. Several years later, a half-hearted half-hour long TV special was aired, which was meant to wrap things up. All I will say about that is that it was a musical.",0,Visuals/Effects,No
"Awful, simply awful. It proves my theory about ""star power."" This is supposed to be great TV because the guy who directed (battlestar) Titanica is the same guy who directed this shlop schtock schtick about a chick. B O R I N G.<br /><br />Find something a thousand times more interesting to do - like watch your TV with no picture and no sound. 1/10 (I rated it so high b/c there aren't any negative scores in the IMDb.com rating system.)<br /><br />-Zaphoid<br /><br />PS: My theory about ""star power"" is: the more ""star power"" used in a show, the weaker the show is. (It's called an indirect proportionality: quality 1/""star power"", less ""sp"" makes for better quality, etc. Another way to look at it is: ""more is less."")<br /><br />-Z",0,Plot/Story,Yes
"As a fan of Paris Je'Taime, I went to see New York, I Love You with very high expectations. I gladly walked out with all my expectations met. It was funny, sweet, fast-paced, and entertaining. The film starts out with two cab hoppers (Bradley Cooper & Justin Bartha) trying to get to the same area but arguing which way to go. That was funny, and then the film goes into some of the best skits I have ever seen anywhere. There were four amazing ones out of all the good ones. Those four I will start talking about. One features Shia LaBeouf as a bellhop at a hotel who finds love in an old lady. The next one features Orlando Bloom as a music maker who is doing business with a woman played by Christina Ricci. Another one features Anton Yelchin and Olivia Thirbly as two people going to prom, Thirbly's character being handicapped. The best one features Eli Wallach and Cloris Leachman as a bickering old couple. I will bring to your attention that Nataile Portman makes an impressive directorial debut directing, and writing a skit about a caretaker, and Ethan Hawke and Maggie Q are excellent as a flirting man and a hooker. New York, I Love You is definitely as good, if not better than the 2006 Paris Je'Taime. The skits are well-paced, and the film shows how indie films should really be. The film, however, does not have as many famous directors as Paris Je'Taime, which is why it was fantastic to live up to its excellence. If you want to laugh, see some great dramatic effects, see an amazing amount of great performances, and just plain be entertained then definitely go see New York, I Love You.",1,Plot/Story,No
"I really like slasher movies,but this one is truly awful.The acting is lame,the script is bad,and the atmosphere is non-existent.The plot is as follows:a deformed gardener Charlie Puckett slaughters people in a small American town.That's right-this is the plot.Very original,eh!""The Night Brings Charlie"" isn't even gory enough-if the film ain't gonna be scary,at least they should make it bloody.Avoid this cheap piece of trash at all costs.If you want to see some good slasher flicks check out ""Madman"",""The Burning"",""The Prowler"",""Just Before Dawn"" or ""Humongous""- just don't waste your precious time with this worthless piece of garbage.",0,Plot/Story,Yes
"This show had a lot of hype but I didn't know about it until the midseason (season 1). Someone even recommended the show to me. But I decided that if I was going to watch it, I was going to wait until the end of the season so I could watch it in bulk. Due to the show's format, I'm happy I waited. I imagine it would have been fairly annoying have nearly every episode end in the middle of some cliff hanger then have to wait another week to find out what happens in the next second of the story.<br /><br />Somehow, this show has managed to throw in too much sex. Jason will have sex with pretty much anything that moves. Right after he finds out that one woman he had sex with was killed, he's in bed with another woman the next night! Then Tara and Sam get it on, despite each of them knowing that Sam is in love with Sookie. And for some reason, Sookie gets mad when she later finds out about it--even though she's sleeping with a vampire. One of the problems with the show, is that it doesn't do a good job of making you care about the characters. I really didn't care for Jason at all. Along with his endless pursuit of tale, he was rude to the people who actually were concerned for him. After a few episodes, I wouldn't have minded if he got killed somehow. For that reason, I was for the most part uninterested in the murders until Sookie's Grandmother became a victim (since the first two were more closely involved with Jason).<br /><br />Then once Sookie and Bill have sex, the story gets a few more subplots. Tara's mother wants an exorcism, then the exorcist lady tries to convince Tara that she should have one to remove her own demon. I wasn't so much bothered by the whole exorcism thing as I know there are some people who really believe in that stuff. However, they waste little time in showing that is it a farce right after Tara spends about $1300 on exorcisms for her and her mother. At other points, some of the developments happen too fast. Jason continues being a jerk, trying to sell his Grandmother's stuff to buy vampire blood, which apparently is the new crack or something. In his search he finds this girl who will do V (vampire blood) with him. They get high, and within three days fall in love with each other and kidnap a vampire for a constant source of V. Another example is when Bill has to go to a vampire tribunal. He's only gone for two days before Sookie starts to feel abandoned and start to wonder if he thinks ""vampire politics"" are more important than her.<br /><br />Subtlety is not this show's strong suit. It doesn't take a genius to figure out something is going on with the local dog. Although my assumption wasn't dead on, it wasn't that much of a surprise. But the finale two episodes was where it really got annoying as it just shoved all the developments in your face as if you couldn't possibly figure the out for yourself. When Tara gets into the car accident, the naked lady's face with the pig is clearly shown, and was easily recognizable when she shows up at the jail for the bailout. As if that wasn't enough, they later show the lady again with the pig at her house. Then it's time to wrap up the murder story. At the end of the penultimate episode, it's revealed that Renee is not who he says he is and most likely is the killer. In the final episode, they shove Renee being the killer in your face. Sookie remarks that it's odd that Renee's thoughts don't have an accent. I thought that was fine, as it adds to Renee being a fraud. But the next scene is full of incriminating evidence against Renee. They show that Renee has the tape of Maudette with the vampire and his fiancée finds a tape in one of Renee's boxes about how to fake a Cajun accent. At this point it was just ridiculous. I mean WE GET IT!!! So blah blah blah stuff happens. Bill almost kills himself while failing to save Sookie, who still manages to kill Renee. They start to set up season 2 by leaving unfinished issues. The naked pig lady and Sam have a history, Lafayette has gone missing and might have been killed. Jason is in the process of being brainwashed into being a religious nut by some anti-vampire church--which makes me care about him even less.<br /><br />It's almost surprising to see how many people absolutely love this show. I think I just expected this show to be better. I'm interested in seeing what happens in season 2, but if I watch it, I'll most likely wait for the season completion.",0,Plot/Story,No
"Flavia the Heretic is an undeniable work of art and probably my number one recommendation to state that the euro-exploitation cinema is severely underrated and not to be ignored. This is an intelligent and complex film, beautifully realized and  surprise  pretty damn accurate! This is more than just meaningless sleaze or gratuitous violence and it's about time those prudish film committees who categorize Flavia as forbidden trash reckon this as well. Flavia is a beautiful 14th century adolescent, forced to live the life of an obedient nun in a strict convent. She refuses to accept her being inferior just because she's female and she curses her fellow sister for being so tolerant about this. After a fruitless attempt to escape, she befriends another rebellious nun and she even guides a troop of bloodthirsty Muslims into the walls of the convent.<br /><br />Flavia is a downright mesmerizing film! Almost impossible to believe that director Gianfranco Mingozzi managed to make it appear so realistic and so disturbing. I challenge you to come up with a title that centers on the topic of pioneer-feminism more intensely than Flavia does. Several sequences are quite shocking (on the verge of nightmarish, actually) as the camera zooms in on brutal rapes, torture and mutilation. Yet all this raw footage isn't just used to satisfy perverted gorehounds, mind you. I'm strongly convinced that they're part of the statement 'Flavia' is trying to communicate: Humanity (the Catholic Church in particular) historically proved itself to be a hypocrite and discriminating race and there's no use in denying it any further. Films like ""Flavia, the Heretic"" have the courage to question and openly condemn our precious ancestors and I truly admire them for it. Flavia is an outstanding and fundamental exploitation film because of its substance, but it's even brought to an higher level by the wondrous cinematography, the glorious costumes & scenery and a breathtaking musical score by Nicola Piovani. Florinda Bolkin is very convincing as the ambitious and headstrong nun but it's María Casares who steals the show as Sister Agatha. She's a man-hating and loud-mouthed nun who likes to urinate in the open field! Amen, sister!",1,Plot/Story,No
"Life Begins is a wonderful pre-code film starring some of the best of the era. It is set in the maternity ward of a hospital, particularly in the room for the women expected to have trouble. In it is an older woman, a tough unwed mother (Glenda Farrell), a frail young woman, an Italian woman, and the main character (Loretta Young) who is spending 20 years in prison for murder. Her husband (Eric Linden) is at the hospital at every second aching to know that everything will be okay. Aline MacMahone plays the nurse who is great at her job.<br /><br />This film is highly interesting and entertaining. It isn't terribly shocking in any way, but it is interesting to see such a neglected subject on the silver screen. The acting is brilliant all around. Loretta Young is gorgeous here in her prime. Eric Linden comes out of nowhere and is sincere as can be. His innocence is reminiscent of Michael J. Fox. Glenda Farrell is great as always, a staple of pre-codes and for good reason.",1,Acting,No
"I was lying on my bed, with a really bad cold or flu or whatever. I figure maybe I'd kill some time watching some horror movies my mom bought for me a little while ago. I wish I never picked this movie! After I watched it I felt even more sick and I wanted to throw up. Afterwords(when I got better of course) I did some research on Dennis L.Rader and I noticed that the Dennis in the movie was nothing like the real one. I hope that no one ever watches this movie but if they ever do don't eat or you'll feel the way I felt after I first watched it. I think you would have a better time watching The Santa Claus 3. At least that movie had better reviews on this site.",0,Plot/Story,Yes
"Musically speaking Irving Berlin gave Fred Astaire and Ginger Rogers another pluperfect musical after Top Hat if that was possible. Although in this case like that Jerome Kern confection Roberta that they were in, Follow the Fleet retained Randolph Scott with another singer, this time Harriet Hilliard.<br /><br />Randolph Scott is a career Navy CPO and Fred Astaire is an ex-vaudevillian who enlisted in the Navy to forget Ginger Rogers his former partner. But now the two are on shore leave. Fred and Ginger take up right where they left off, and Randy accidentally meets Ginger's dowdy sister Harriet who blossoms into a real beauty. But Randy's a typical love 'em and leave 'em sailor. <br /><br />Again Irving Berlin wrote a hit filled score with him tightly supervising the production. Ginger gets to do some really outstanding vocalizing with Let Yourself Go which she and Fred later dance to. But the real hit of the show is Let's Face the Music and Dance which is a number done at a Navy show. Sung first by Astaire and later danced to by the pair, Let's Face the Music and Dance is one of the great romantic numbers ever written for the screen. Their dancing on this one is absolute magic.<br /><br />I'm sure that when I mention Harriet Hilliard a few younger people might ask who that was. But they will know immediately when I mention her in conjunction with her famous husband Ozzie Nelson. That's right Ozzie and Harriet. It's something of a mystery to me why Harriet stopped singing when she just became David and Ricky's mom on television. Then again she didn't even keep her own name. <br /><br />Neither Ozzie or Harriet sang on television. Ozzie was a pale imitation of Rudy Vallee as a singer, but Harriet could really carry a tune. She sings Get Thee Behind Me Satan and The Moon and I Are Here, But Where Are You, both with real feeling and class. I recommend you see Follow the Fleet if for no other reason than to hear a dimension of Harriet Hilliard incredibly forgotten today.",1,Plot/Story,No
"I didn't feel that this film was quite as clever as it seemed to think it was but enjoyed it nevertheless. <br /><br />It is original, although reminded me a little of two other French films, Vidocq and City of Lost Children, mostly for the colouring but also for the edgy quality of the close ups of the characters.<br /><br />Set in a prison cell but do not let this put you off, this film seemingly goes further than many a multi locationed blockbuster.<br /><br />Always interesting, with the perennial 'Black Arts' well to the fore and very good characterisation making some only too believable! <br /><br />Scary with some gore this is well worth a viewing.",1,Acting,No
"I happened to see this movie twice or more and found it well made! WWII had freshly ended and the so-called ""Cold War"" was about to begin. This movie could, therefore, be defined as one of the best ""propaganda"", patriotic movies preparing Americans and, secondly, people from the still to be formed ""Western NATO block"" of countries to face the next coming menace. The movie celebrates the might of the US, through the centuries, while projecting itself onwards to the then present war, which had just ended. Nice and funny is the way of describing the discovering of the American Continent by Columbus and pretty the ""espisode"" of New Amsterdam and the purchasing of Manhattan from a drunk local Indian .. Must see it (at least once, for curiosity of fashion of propaganda through time)! :)",1,Plot/Story,No
"This a good episode of The New Twilight Zone that actually includes interesting ideas and clever stories (I note both of them are based on short stories). ""Examination Day"" is set in the future, year unknown but at a point where they have cake candles that light themselves, huge TV-looking ""phones"" that double as numerous other entertaining machines and distributed only to those of a certain age...and the Examination Day, a point where 12-year-olds must undergo a government-required IQ test. The kid is this story, Dickie Jordan (David Mendenhall) is just celebrating his own 12th birthday and is a smart kid, so is calm, even eager to take the test that he has seen friends pass easily and knows he will excel at based on his school grades. His parents (Christopher Allport and Elizabeth Norment), on the other hand, say he shouldn't have used his birthday wish on getting a good score, and while their reason includes that they believe he's capable and he should have no need to worry, it's pretty obvious they are worried. I won't give anything away in the ending, but I will say this - there's a point where we get a glimpse of what's to come as far ass why the test is such a heavy subject: that evening (or another?) his parents ask Dickie whether he'd prefer to watch TV all night. By today's standards, we'd be pleased he'd say he'd rather read and not just because there's nothing worth watching...but why would his family ask this? The flavor of what's encouraged and discouraged in the future reminded me a bit of the atmosphere from Harrison Bergenon (which I hear hasn't received a great adaptation to the screen). I only wish they could've provided an opening and closing narration to make this theme as powerful as The Obsolete Man was. I found it to be better than the short story it was based on. I haven't read the one that ""A Message from Charity"" was based on, but would like to since it was interesting - a 16-year-ld boy, Peter (Robert Duncan McNeill) is suffering a fever from unclean water, that has always been common in his Massachusetts hometown...but he is able to see through the eyes of a young Puritan woman suffering the same type of fever, Charity Payne, (Kerry Noonann) who also finds herself able to experience what goes on around him. They both recover, especially since it's common for that to happen in 1985, but the connection doesn't go away. Charity is curious about the sights and sounds she records of 1985 and they each enjoy each other's company, especially Peter, who has promoted grades in school enough to always have felt isolated from other students, even at the college he's been staying in one place at. Things take an unexpected turn, though, when Charity reveals some of these experiences to a friend who take her claims that the 13 colonies will breach from England as a sign of bewitchment, added to the fact that she was spared death from the fever (not so common in 1700). The two try to learn a way to save her. The ending is sad but has an interesting final moment that makes it touching. Both segments of this episode include a lot of pain but both times, through a lesson/warning that sounds like something Rod Sterling would've cooked up and entertainment, make cheerful watching as reminders that friendship, love, and wisdom do a great deal. Probably 3/4 of this has no theme, but somehow I think it all would have been approved by Sterling's crew.",1,Plot/Story,No
"In Black Mask, Jet Li plays a bio-engineered super-killer turned pacifist, who has to fight against other super-killers. Bad plot, bad sfx(60 million dollar budget), but the fighting scenes were excellent! Jet Li is the greatest martial-arts star alive!",1,Acting,No
"This film has an interesting plot, but the acting is quite bad and the script is poor. I was very disappointed. The moral dilemma faced by the main character is an intriguing one, but due to poor writing and casting this potentially winning premise is plundered. 2 of the 4 other people in the theater left after about 45 minutes and the other 2 were laughing at how bad the film was. I stuck it out to the end, but I must admit I played Blackjack on my cell phone to make the last 30 minutes bearable.",0,Plot/Story,Yes
"Three giant sabretooth tigers(..created in a laboratory from mitochondrial DNA, a ""genetic breakthrough"" derived from fossil material)are on the rampage accidentally set free through a series of events(such as a computer geek's introduced virus in order to unlock security measures keeping the resort novelty shops closed during construction & a security guard's leaving a gate open while searching for the missing page from a porn mag that flew away in the breeze)that threaten the lives of those it comes in contact with. The tigers are always hungry, but are unable to digest what they eat. So pretty much the tigers just rip their prey to shreds. Victims include a group of college kids(..the stereotypes include a goth girl, jock and tech nerd), security personnel, and those somewhat developed rich scoundrels who we can easily despise and wish horrible death.<br /><br />Rounding out a series of bad sci-fi channel flicks, Attack of the Sabretooth has some of the most wretched computer simulated animals I've seen yet. And, the final death sequence is so putridly presented, you'll demand within the deepest recesses of your soul the time spent on this truly awful exercise in the creature feature canon. There's some good dark humor deriving from heads being torn from necks, but even here the prosthetic work is unconvincing. Prosthetic body parts and blood aplenty as victims are pounced upon, crying for help and receiving none. I'm starting to sound like a broken record, repeating myself in every user comment I write for these sci-fi channel flicks. I think maybe it's time to move on to other kinds of cinema. Robert Carradine has a role as a ruthless businessman who is being wooed by his truly repellent ex-brother-in-law, Nicholas Bell, the one opening ""Primal Park"", a resort / zoo featuring genetically created sabretooth tigers as it's major attraction. Stacy Haiduk, still quite yummy, is a security officer who attempts to convince Bell to get the investors he hopes to goad into putting money in his multi-million dollar project to leave the island. Brian Wimmer is Haiduck's lover and his role is a mechanic keeping operations running smoothly.<br /><br />Bell's fate at the end, resulting from a dislodged tooth from a sabretooth tiger statue is the pits. Carradine spends a great deal of the film taunting Bell, his arch nemesis. The tiger's point-of-view shows humans in a bright color as it moves towards them. The film ultimately consists of characters walking through darkened corridors(..the tech nerd's virus cut off the power)worried for their safety. The college kids commit breaking and entering to score certain items needed(..it's a scavenger hunt type of activity)to enter a fraternity / sorority. The cast playing these kids do not rise above their clichés.",0,Plot/Story,No
"It's not quite the timeless masterpiece you would hope it would be based on the acclaim it garnered, but 1969's ""Midnight Cowboy"" is still a powerhouse showcase for two young actors just bursting into view at the time. Directed by John Schlesinger and written by Waldo Salt, the movie seems to be a product of its time, the late 1960's when American films were especially expressionistic, but it still casts a spell because the story comes down to themes of loneliness and bonding that resonate no matter what period. The film's cinematic influence can still be felt in the unspoken emotionalism found in Ang Lee's ""Brokeback Mountain"".<br /><br />The meandering plot follows Joe Buck, a naive, young Texan who decides to move to Manhattan to become a stud-for-hire for rich women. Full of energy but lacking any savvy, he fails miserably but is unwilling to concede defeat despite his dwindling finances. He meets a cynical, sickly petty thief named ""Ratso"" Rizzo, who first sees Joe as an easy pawn. The two become dependent on one another, and Rizzo begins to manage Joe. Things come to a head at a psychedelic, drug-infested party where Joe finally lands a paying client. Meanwhile, Rizzo becomes sicker, and the two set off for Florida to seek a better life. This is not a story that will appeal to everyone, in fact, some may still find it repellent that a hustler and a thief are turned into sympathetic figures, yet their predicaments feel achingly authentic.<br /><br />In his first major role, Jon Voight is ideally cast as he brings out Joe's paper-thin bravado and deepening sexual insecurities. As Rizzo, Dustin Hoffman successfully upends his clean, post-college image from ""The Graduate"" and immerses himself in the personal degradation and glimmering hope that act as an oddly compatible counterpoint to Joe. The honesty of their portrayals is complemented by Schlesinger's film treatment which vividly captures the squalor of the Times Square district at the time. The director also effectively inserts montages of flashbacks and fantasy sequences to fill in the character's fragile psyches. Credit also needs to go to Salt for not letting the pervasive cynicism overwhelm the pathos of the story. The other performances are merely incidental to the journeys of the main characters, including Brenda Vaccaro as the woman Joe meets at the party, Sylvia Miles as a blowsy matron, John McGiver as a religious zealot and Barnard Hughes as a lonely out-of-towner.<br /><br />The two-disc 2006 DVD package contains a pristine print transfer of the 1994 restoration and informative commentary from producer Jerome Hellman since unfortunately neither Schlesinger nor Salt are still living. There are three terrific featurettes on the second disc - a look-back documentary, ""After Midnight: Reflections on a Classic 35 Years Later"", which features comments from Hellman, Hoffman, Voight and others, as well as clips and related archive footage such as Voight's screen test; ""Controversy and Acclaim"", which examines the genesis of the movie's initial 'X' rating and public response to the film; and a tribute to the director, ""Celebrating Schlesinger"".",1,Acting,No
"People, please don't bother to watch this movie! This movie is bad! It's totally waste of time. I don't see any point here. It's a Stupid film with lousy plot and the acting is poor. I rather get myself beaten than watch this movie ever again.",0,Acting,Yes
"**Possible Spoilers Ahead**<br /><br />	Jason (a.k.a. Herb) Evers is a brilliant brain surgeon who, along with wife Virginia Leith, is involved in the most lackluster onscreen car crash ever. Leith is decapitated and the doctor takes her severed noggin back to his mansion and rejuvenates the head in his lab. The mansion's exterior was allegedly filmed at Tarrytown's Lyndhurst estate; the lab scenes were apparently shot in somebody's basement. The bandaged head is kept alive on ""lab equipment"" that's almost cheap-looking enough for Ed Wood. Some of the library musicthe movie's high pointlater turned up in Andy Milligan's THE BODY BENEATH. Leith's head has some heavy metaphysical discourses with another of Ever's misfires, a mutant chained in the closet. Meanwhile, the good doc prowls strip joints looking for a body worthy of his wife's gabby noodle. The ending, in uncut prints, features some ahead-of-its-time splatter and dismemberment when the zucchini-headed monster comes out of the closet to bring the movie to a welcome close. This thing took three years to be released and then, audiences gave it the bad reception it richly deserved. Between this, PLAN 9 FROM OUTER SPACE and a few others, 1959 should have been declared The Year Of The Turkey.",0,Plot/Story,No
"Boring, long, pretentious, repetitive, self-involved  this move felt like a bad date. Worse, the tedious art-school direction -- with a heavy-handed use of the whirling shot that gets so overdone it almost made me throw up - is constantly screaming to be noticed. Add the thinnest of plots and virtually no dialogue, and the film begins to feel like a four hour epic about 30 minutes in. It gets worse: instead of dialogue there are poorly written voice-overs AND quotes and songs that comment all too obviously on the characters. Really loud opera music too. Blame it all on the director.<br /><br />The actors are all quite good. The lead actor Miguel Angel Hoppe is particularly suited for film stardom. He and the other actors have some tender erotic moments. Even these start to get boring after 5 minutes however, and one wonders if the director is auditioning for a Bel Ami porn job. The stunning college campus architecture as a location in Mexico City is inspiring. How come universities in the US are so bland (SFSU, UC, etc.)? But wait for the DVD on this film. You'll want to use the fast scan button  a lot.",0,Plot/Story,Yes
